hotel_id,hotel_name,hotel_formerly_name,hotel_translated_name,addressline1,addressline2,zipcode,city,state,country,countryisocode,longitude,latitude
3836,Holiday Inn Express - Glasgow - City Ctr Theatreland,,??????????????????????????,Theatreland,,G1 2RL,????????,,????,GB,-4.253917,55.865955
3942,Holiday Inn Express Belfast City Queens Quarter,,????????????????????????????????,106A University Street,,BT7 1HP,??????????,,????,GB,-5.925837,54.58645
3988,London Marriott Hotel Regents Park,,????????????????????,128 King Henry's Road,,NW3 3ST,????,,????,GB,-0.170128,51.541727
4050,Ramada Birmingham Solihull Hotel,Ramada Jarvis Solihull,??????????????????,The Square,,B91 3RF,??????,,????,GB,-1.775622,52.411697
4145,Park Plaza Sherlock Holmes Hotel,,????????????????,108 Baker Street,,W1U 6LJ,????,,????,GB,-0.156591,51.520954
4182,Landmark London Hotel,,????????????,222 Marylebone Road,,NW1 6JQ,????,,????,GB,-0.162606,51.521488
4192,Sofitel London Gatwick Hotel,Sofitel Gatwick Airport Hotel,??????????????????????,"North Terminal, West Sussex",,RH6 0PH,????,,????,GB,-0.174041,51.16087
4282,Thistle Barbican Shoreditch Hotel,Thistle City Barbican Hotel,??????????????????????,"120 Central Street, Clerkenwell",,EC1V 8DS,????,,????,GB,-0.096369,51.527222
4291,Every Hotel Piccadilly,Thistle Piccadilly Hotel,??????????????????,39 Coventry Street,,W1D 6BZ,????,,????,GB,-0.133829,51.51007
4298,Berjaya Eden Park London Hotel,,??????????????????????,"35-39 Inverness Terrace, Bayswater",,W2 3JS,????,,????,GB,-0.186671,51.511979
4337,Mercure Leeds Parkway Hotel,,??????????????????,Otley Road,,LS16 8AG,????,,????,GB,-1.593141,53.867988
4349,Thistle Hyde Park Hotel,,??????????????????,90-92 Lancaster Gate,,W2 3NR,????,,????,GB,-0.18088,51.511111
4381,Clayton Lodge Hotel,Clayton Lodge/Ramada,??????????????,Clayton Road,,ST5 4AF,????????????????,,????,GB,-2.223764,52.988838
